num_epochs,dropout,batch_size,initial_lr,final_train_spearman,val_spearman
10,0.2,16,0.0001,0.37121809192441,0.2913696460353004
10,0.1,16,0.001,0.38846770771597794,0.28783452193324166
10,0.1,16,0.0005,0.4216762132773283,0.2831577832857948
10,0.3,16,0.0005,0.41074091850603645,0.2809180152853545
10,0.1,64,0.001,0.44191602042874156,0.2794805023436452
10,0.1,16,0.0001,0.4043113559930157,0.2766934198952644
10,0.3,32,0.001,0.34797044495551127,0.2753314189304982
10,0.2,16,0.0005,0.414810654004548,0.2707107795922471
10,0.1,32,0.0001,0.3893707063518393,0.26808204868567515
10,0.3,32,0.0005,0.39473711944747447,0.2659038041937546
10,0.2,16,0.001,0.321175054020691,0.244134493407366
10,0.1,64,0.0001,0.34740524311632937,0.2328086439822038
10,0.1,64,0.0005,0.2787661661047357,0.23190240485605285
10,0.2,64,0.0001,0.30847748686499643,0.22646202051309686
10,0.3,32,0.0001,0.3056991988073606,0.22181163038846607
10,0.2,32,0.0001,0.32607769484888943,0.2147852283003481
10,0.1,32,0.001,0.4252151711961092,0.21425422283749887
10,0.3,16,0.0001,0.32108670575499176,0.2092664233638675
10,0.3,16,0.001,0.3288903722520417,0.2086898592813297
10,0.5,32,0.001,0.3398303508064972,0.20328735997355762
10,0.5,64,0.001,0.19425915338612573,0.20162112137316
10,0.5,16,0.001,0.3116526727019504,0.20075550592276944
10,0.2,32,0.001,0.38150242433287374,0.19901494542508735
10,0.3,64,0.0001,0.2760052296175479,0.19532288199821138
10,0.3,64,0.001,0.4017659976922983,0.17856128330078044
10,0.2,64,0.0005,0.16833165533962802,0.177267950833959
10,0.2,32,0.0005,0.23874949616260302,0.17200504781758882
10,0.2,64,0.001,0.3390064990739358,0.1458499486698009
10,0.5,64,0.0005,0.33953736749678415,0.1387676051904196
10,0.3,64,0.0005,0.26265989968766107,0.13846033960125625
10,0.5,16,0.0001,0.23912057419022503,0.13778172734465907
10,0.5,16,0.0005,0.3539532112569846,0.13556874270089936
10,0.5,64,0.0001,0.21392064000661531,0.12026746416417708
10,0.5,32,0.0005,0.2697795429056182,0.11942506892364345
10,0.5,32,0.0001,0.21425011245547537,0.11204272093854692
10,0.1,32,0.0005,0.4111138438555695,0.0307334792221816
